0_men (1).JPG,27416.5000,1317.7371,1.7407,0.6001,36107.5000,0.7593,186.8362,0
0_men (10).JPG,44132.0000,996.5828,2.1130,0.6667,47783.0000,0.9236,237.0456,0
0_men (100).JPG,44332.0000,1186.5483,1.6364,0.6202,52375.5000,0.8464,237.5821,0
0_men (101).JPG,49654.5000,1297.3351,1.6027,0.6175,59402.5000,0.8359,251.4400,0
0_men (102).JPG,46150.5000,1108.1980,2.1520,0.7334,54105.5000,0.8530,242.4059,0
0_men (103).JPG,45074.0000,1379.0336,1.7839,0.6380,55151.5000,0.8173,239.5621,0
0_men (104).JPG,45304.5000,1004.3057,1.4478,0.5915,50061.0000,0.9050,240.1739,0
0_men (105).JPG,46633.0000,1280.4895,1.5111,0.6096,52098.0000,0.8951,243.6698,0
0_men (106).JPG,39709.0000,1453.4356,1.9777,0.6267,49835.0000,0.7968,224.8534,0
0_men (107).JPG,56739.0000,1063.8377,1.5408,0.6783,61572.5000,0.9215,268.7793,0
0_men (108).JPG,54425.5000,1054.2224,1.6460,0.6474,60098.5000,0.9056,263.2427,0
0_men (109).JPG,54632.5000,1038.6833,1.7406,0.6984,59269.5000,0.9218,263.7428,0
0_men (11).JPG,49021.5000,955.7960,1.3377,0.7049,52615.0000,0.9317,249.8322,0
0_men (110).JPG,44677.5000,1119.4773,1.6422,0.5725,52717.0000,0.8475,238.5061,0
0_men (111).JPG,51399.0000,1014.4062,1.4831,0.6223,56702.0000,0.9065,255.8188,0
0_men (112).JPG,40913.5000,1125.7615,1.8041,0.6026,50455.5000,0.8109,228.2382,0
0_men (113).JPG,44645.5000,1202.7910,1.4261,0.5918,54338.5000,0.8216,238.4207,0
0_men (114).JPG,50133.0000,959.2935,1.3333,0.6694,53932.5000,0.9296,252.6486,0
0_men (115).JPG,37889.0000,1323.2346,1.8324,0.6453,46964.0000,0.8068,219.6401,0
0_men (116).JPG,43894.0000,987.6955,1.6364,0.6141,51670.0000,0.8495,236.4055,0
0_men (117).JPG,46673.0000,961.2102,1.4977,0.6869,52574.0000,0.8878,243.7743,0
0_men (118).JPG,30885.5000,1380.7910,1.9824,0.5391,43723.5000,0.7064,198.3044,0
0_men (119).JPG,43378.0000,1148.8082,1.6119,0.5611,54147.5000,0.8011,235.0119,0
0_men (12).JPG,39905.5000,1292.2224,1.2339,0.6805,45225.0000,0.8824,225.4091,0
0_men (120).JPG,50184.0000,1587.4255,1.5794,0.5853,61736.5000,0.8129,252.7771,0
0_men (121).JPG,39809.0000,1217.1514,1.9731,0.5832,51212.5000,0.7773,225.1364,0
0_men (122).JPG,39726.5000,1240.5656,1.2489,0.5859,47543.5000,0.8356,224.9030,0
0_men (123).JPG,43242.5000,915.8549,1.4265,0.6809,48651.5000,0.8888,234.6445,0
0_men (124).JPG,49749.0000,956.6417,1.0884,0.7373,54003.0000,0.9212,251.6791,0
