0_men (1).JPG,-16.1979,-73.1619,-59.4509,-8.3414,-29.7807,-76.8327,-23.7801,12.5173,2.5752,20.4804,-9.2825,9.1306,2.6640,-6.8655,-1.7356,-15.6068,2.5022,0.7223,1.2401,-4.4227,2.6787,-1.0587,-4.6470,-1.5503,-1.6294,0.2754,0.3788,2.4282,1.9573,0.3998,1.6418,1.0483,0.6924,-2.2413,1.7621,1.9968,0.0154,3.0423,-0.4596,-0.5971,-0.0445,0.2325,-2.6628,0.7353,-0.8263,1.3963,-0.5815,-0.0236,0.8560,-1.4790,0.6839,-1.4908,0
0_men (10).JPG,-72.6280,-157.1525,-63.9270,49.7728,-6.1091,1.3067,-7.8926,-7.2186,12.3542,4.2406,3.4431,-10.6346,0.6836,-0.8351,-6.1278,0.9466,-1.5432,1.6444,0.9443,4.0607,-0.5674,-0.0777,0.9506,-0.9264,-0.0078,0.8367,-3.1243,-0.6621,-0.1531,0.7055,-0.9881,-0.0979,-1.5318,-1.2490,0.3357,-0.7997,-0.2250,-0.5412,-1.0253,-0.1415,1.6805,0.1186,-0.8083,-0.1378,0.4160,-0.1439,0.5652,-0.3107,-0.6795,0.7532,-0.1082,0.4146,0
0_men (100).JPG,-54.1511,-134.7189,-72.1911,49.7087,-34.8163,-11.8439,-26.4884,9.7135,9.0118,2.2841,-2.3244,-7.2297,7.2604,-1.9236,-5.0976,-9.8196,-0.7436,3.1464,-5.1891,3.9559,-1.5629,-0.1210,0.7101,4.6304,-2.9978,-1.4610,-0.4587,-4.5186,0.7775,-0.2245,-1.9955,0.1972,1.1532,0.8496,0.9599,1.6497,-1.0317,-0.8691,-2.6318,-0.8533,-0.8939,-1.2014,0.8186,-0.9212,1.3428,1.5815,-0.2205,0.2664,-0.7609,-0.8327,-0.7236,-0.2012,0
0_men (101).JPG,147.2783,-70.4057,-75.0952,-68.9404,34.4706,-10.0661,8.4297,-0.6994,-11.3629,1.4019,-12.1205,10.8574,5.7845,-4.6126,-13.9040,-3.8381,0.2270,2.7155,-6.0870,-0.5537,0.2247,2.9444,-5.1173,-0.6875,1.5815,-0.7364,0.1505,1.7777,1.8752,0.9111,-2.2837,0.0081,0.3984,-0.7829,-0.6780,2.7254,0.3003,-0.0699,-0.6062,-1.3414,0.7830,-0.9614,0.0646,1.7835,-0.6001,1.5607,-0.3608,-1.0690,0.0212,-0.7279,-1.5134,1.1902,0
0_men (102).JPG,169.7749,-2.1301,-12.4055,-43.5771,5.2173,0.5875,-3.9938,25.6618,9.3374,-1.0477,-8.4081,-8.9950,3.6559,1.3273,0.5882,2.7672,-0.0163,-1.5863,3.9420,-2.0384,1.6192,0.6695,-0.9044,-1.2202,-0.8789,-0.3488,-0.5219,0.9609,0.3759,1.2910,0.8116,0.5699,0.0139,-0.0051,-0.0529,0.6884,-0.1865,0.3730,0.4026,-0.2365,0.5873,0.6790,-0.0152,0.1054,-0.1320,-0.2974,-0.3568,0.3691,0.2402,0.9203,-0.5227,0.6228,0
0_men (103).JPG,35.2682,-132.6667,-61.3073,-22.1360,52.8949,-14.4223,-33.1518,-38.1427,-0.7685,-0.0055,-11.4784,7.6722,-12.4382,-12.3540,2.7210,8.1438,-3.5931,10.3199,-8.0709,-2.1907,5.2450,-1.8177,0.6026,-6.3853,0.5519,2.4057,1.6168,4.3536,3.7068,-1.6638,-0.9023,0.2540,-2.3208,2.1669,-1.3963,-1.0133,1.2614,-0.7842,-1.1370,-1.3716,0.6599,-0.5187,-1.3785,1.5968,1.8409,-0.5000,-0.0042,0.0045,-1.5180,0.6491,-0.0721,0.0120,0
0_men (104).JPG,-68.3043,-126.4612,-74.3838,55.7457,-0.2079,4.7503,-16.9120,-13.8420,7.8722,-3.7039,-1.3075,-7.0897,-4.5346,-2.5784,-5.3303,5.0341,-1.0784,5.4148,-0.1765,-0.4257,1.9511,2.6222,-1.5774,-3.4396,0.9390,-0.9541,-2.9707,3.0421,-0.3671,-2.0893,0.5499,0.0227,-1.5235,0.8542,-0.5916,-0.7736,-0.3554,1.5968,-0.6556,0.3761,-0.5621,0.1857,-0.9332,-0.3111,0.1902,-0.2875,0.2059,-0.2578,0.6791,-0.7181,-0.3443,-0.0913,0
0_men (105).JPG,-100.6169,-62.6723,-37.2956,80.0231,47.2021,-47.0786,-32.3863,-13.6821,-19.2034,-22.0714,-8.3112,-6.3605,-4.6869,9.3631,-1.2839,-4.9567,1.5077,8.4000,-3.4123,7.8761,6.1518,0.1516,1.0648,-3.8657,-1.2751,-1.9615,-3.0184,0.8454,-2.1154,-1.1831,0.7919,-1.8634,0.2850,-0.5180,-2.2439,2.1959,-0.8000,-1.2469,-0.5986,-0.3313,-0.9806,1.7019,-1.4884,-0.4750,-1.1806,1.5038,-0.2558,-0.1631,1.3159,0.8682,0.3593,0.5046,0
0_men (106).JPG,-40.3860,-121.2123,-60.0833,10.9469,-24.5744,-62.7525,-33.0745,22.3068,-8.7278,26.2585,-9.1702,-9.1748,11.1687,-8.8791,0.9681,-11.7834,0.0060,1.1893,-2.8697,-4.2434,5.9863,-2.3094,-1.8055,1.2009,-2.2904,1.2967,-0.2143,5.3582,1.0053,-0.0597,2.6136,1.2684,-0.3532,0.7873,-2.5136,-1.8399,-2.1278,1.1776,-1.7448,-1.2355,2.0569,0.8069,-0.2964,-0.2459,-1.6575,-1.8213,1.8744,0.7816,0.1473,0.7132,-1.9511,2.0676,0
0_men (107).JPG,-64.3311,-154.4390,-86.1097,66.7199,-13.7227,-2.6133,-5.9750,-10.4147,7.3444,2.6009,5.9469,-7.3013,3.8384,-0.9359,-7.8531,-4.3160,0.1354,2.9277,0.5148,4.5235,-1.4041,-1.1728,3.6176,2.2862,-1.3406,-0.0537,-3.4097,-0.9857,1.9998,2.6438,0.0826,0.4851,-1.2543,-0.1752,-1.0275,0.1267,-1.8567,-0.8604,-0.1838,0.8420,0.6896,0.1167,-0.1047,-0.5550,0.1628,0.7719,-1.2200,-0.6578,-0.7590,-0.4033,-0.1346,0.0654,0
0_men (108).JPG,127.8993,-117.3019,-85.1508,-55.5268,9.9363,-2.2539,12.8326,8.4013,-7.5596,-7.2603,-13.5172,1.7794,-0.9965,-1.1521,-5.4731,6.7238,0.1842,1.9465,0.9457,3.2998,0.9466,-0.5176,0.7285,2.3346,-0.0547,-0.9115,1.7726,-1.9449,-0.5929,-1.0211,-0.9085,-0.8080,-0.5712,0.4744,0.5166,0.0564,-0.6017,0.6193,-1.5517,-0.0562,-0.0220,0.5560,-0.0308,0.0668,0.7889,0.1888,0.1691,-0.3431,0.5401,0.2317,0.4139,0.2784,0
0_men (109).JPG,-61.6644,-154.5937,-82.8549,49.8145,-7.3060,2.4668,-12.0252,-5.9564,6.5230,6.8034,3.6872,-15.1796,0.9148,-0.8323,-7.0905,-0.5330,0.0356,-0.9571,-1.7685,3.4235,0.1089,-0.8481,2.0413,-1.3186,0.0826,1.0530,-1.3411,1.0854,1.1290,1.1849,-1.1243,-0.8770,-0.3949,0.4079,-0.5239,0.7585,-1.3283,-0.8109,0.8478,0.5532,0.0320,0.2547,-1.0617,-0.3771,0.9468,0.6669,-0.7118,-0.2294,-0.5366,-0.1444,0.2143,-0.1712,0
0_men (11).JPG,-15.4167,-144.2347,-107.5015,-6.1278,-5.5816,3.5248,-11.9409,-16.1252,4.5939,3.6348,2.0258,-1.6105,5.8864,-1.4994,-3.2354,-2.7018,0.3566,-1.1544,-3.2795,2.4692,-0.3696,-0.6583,1.8173,3.1541,0.3433,0.2395,1.4721,-1.2918,-0.1024,1.1498,-1.8493,-0.7338,-0.4396,-0.0628,-0.6396,1.4185,0.9688,-0.9469,0.0942,0.2004,-0.6661,-0.1357,-0.6194,-0.5548,-0.6889,-0.0590,0.7442,0.4914,1.4598,-0.1116,-0.2030,-0.2170,0
